stn_num,name,Lat,Lon
7186,ERONG,-25.565,116.6653
7161,ERRABIDDY,-25.4628,117.1364
7113,ERRIVILLA,-25.3333,117.25
9789,ESPERANCE,-33.83,121.8925
9542,ESPERANCE AERO,-33.6825,121.8275
9819,ESPERANCE AIRSTRIP ROAD,-33.8,121.9333
9631,ESPERANCE DOWNS RESEARCH STN,-33.6031,121.7828
9541,ESPERANCE POST OFFICE,-33.85,121.8833
5003,ETHEL CREEK,-22.8972,120.1733
4013,ETTRICK,-20.5167,119.6667
11003,EUCLA,-31.6797,128.8958
6021,EUDAMULLAH,-24.4508,115.6072
9567,EULIN HOUSE,-33.8,116.7
12142,EULINNA,-30.3,122.5
10186,EUMALGA,-31.55,116.4
8280,EURARDY,-27.5656,114.6731
8201,EUROGOBBIE,-29.6,116.7
2058,EUROTO,-18.35,128.4833
5004,EXMOUTH GULF,-22.3761,114.1105
5051,EXMOUTH TOWN,-21.9303,114.126
11019,EYRE,-32.2464,126.3008
10079,FAIR VIEW,-31.95,118.5833
9749,FAIRBRIDGE,-32.6042,115.9464
8047,FAIRFIELD,-29.4714,115.8528
3005,FAIRFIELD STATION,-17.5725,125.0675
10243,FAIRFIELDS,-31.4972,117.5894
10809,FALCONDALE,-33.2708,118.3572
10806,FALCONDALE - EDEOWIE,-33.2706,118.2606
9543,FALNASH,-33.9333,116.3
9544,FANNY COVE,-33.8333,121.1667
6107,FAR END PLANTATION,-24.8128,113.7925
1031,FARAWAY BAY,-13.96,127.1964
9545,FERGUSON,-33.4356,115.8433
9912,FERGUSON VALLEY,-33.445,115.8508
109507,FERGUSON VALLEY ALERT,-33.444,115.8536
9902,FERN RIDGE,-34.8908,117.7094
9632,FERNBROOK,-33.2667,115.9833
9546,FERNDALE,-33.8167,115.9333
8245,FERNLEIGH,-28.3333,114.8667
9949,FERRARIS FARM,-33.4072,116.6242
7125,FIELDS FIND,-29,117.3
12244,FIFTEEN MILE CONDENSER,-32.0333,121.6667
10902,FITZGERALD,-33.7781,119.5019
3064,FITZROY A.I.M,-18.1667,125.5833
3093,FITZROY CROSSING AERO,-18.1814,125.5619
3006,FITZROY CROSSING COMP.,-18.1919,125.5644
8233,FIVE GUMS,-29.4847,116.0703
12143,FLEMING GROVE,-33.5667,121.7667
2048,FLORA VALLEY,-18.2972,128.4419
2008,FLORA VALLEY OLD,-18.3167,128
9056,FLOREAT PARK,-31.9494,115.7928
2045,FOAL CREEK,-17.3167,127.7
10909,FOLLANS,-32.6756,116.7789
9981,FOREST EDGE,-32.8392,115.9533
9547,FOREST GROVE,-34.0744,115.0808
11052,FORREST,-30.8453,128.1092
11004,FORREST AERO,-30.8389,128.1139
11005,FORREST RAILWAY,-30.85,128.1
11037,FORREST ROAD,-31.445,127.945
12188,FORRESTANIA CROSSROAD,-32.41,119.7467
12189,FORRESTANIA CROSSROADS,-32.4217,119.5217
9016,FORRESTDALE,-32.15,115.9
9257,FORRESTDALE,-32.15,115.9486
10034,FORT HILL,-31.7272,118.2931
5044,FORTESCUE,-21.0583,116.1111
5086,FORTESCUE ROAD HOUSE,-21.2947,116.1383
3027,FOSSIL DOWNS,-18.1386,125.7764
7026,FOUR CORNERS,-26.45,118.2
2062,FOX RIVER,-18.4233,128.0308
9635,FRANKLAND,-34.3633,117.0836
9641,FRANKLAND (THREE PINES),-34.3,117.1
9843,FRANKLAND VINEYARDS,-34.4417,116.9944
12029,FRASER RANGE,-32.0339,122.8017
3029,FRAZIER DOWNS,-18.7983,121.7125
9017,FREMANTLE,-32.055,115.75
9192,FREMANTLE,-32.0533,115.7647
9084,FREMANTLE NORTH,-32.05,115.75
9083,FREMANTLE OVAL,-32.05,115.75
9974,FRENCHMAN BAY,-35.0955,117.9615
10053,FRIARS WELL,-31.7233,118.4372
7202,GABANINTHA,-26.9183,118.6406
10055,GABBIN,-30.7997,117.6806
10142,GABBIN NORTH,-30.645,117.6833
7027,GABYON,-28.2494,116.34
10736,GAINSBOROUGH,-33.3,117.3
10792,GAIRDNER,-34.2264,118.9369
7175,GARDEN GULLY,-26.4667,118.4667
9197,GARDEN ISLAND,-32.23,115.6844
9256,GARDEN ISLAND HSF,-32.2433,115.6839
6022,GASCOYNE JUNCTION,-25.0544,115.21
12030,GATHERER,-31.4,119.4
12313,GEERANING,-30.6014,118.5228
10864,GEETABIN,-32.6,117.9333
8049,GEORGINA,-28.8833,114.75
